"","e1_pr","e1_vol","e1_s1","e1_s2","e1_s3","e1_s4","e1_s5","e1_mean","e1_var","e2_pr","e2_vol","e2_s1","e2_s2","e2_s3","e2_s4","e2_s5","e2_mean","e2_var","b1_pr","b1_vol","b1_s1","b1_s2","b1_s3","b1_s4","b1_s5","b1_mean","b1_var","b2_pr","b2_vol","b2_s1","b2_s2","b2_s3","b2_s4","b2_s5","b2_mean","b2_var"
"5388",28.99,13272,0.55,0.38,0.03,0.01,0.03,4.4,0.71,26.99,12482,0.71,0.16,0.03,0.04,0.06,4.4,1.28,14.99,9941,0.68,0.18,0.12,0.01,0.01,4.5,0.7,16.99,13484,0.75,0.12,0.08,0.04,0.01,4.6,0.69
"5389",26.99,17081,0.77,0.11,0.03,0.01,0.08,4.5,1.28,26.99,13585,0.57,0.28,0.11,0.03,0.01,4.4,0.72,14.99,18534,0.66,0.26,0.04,0.02,0.02,4.5,0.71,18.99,8926,0.55,0.33,0.09,0.01,0.02,4.4,0.72
"5390",24.99,16353,0.72,0.1,0.09,0.04,0.05,4.4,1.3,28.99,14724,0.6,0.31,0.01,0.03,0.05,4.4,0.99,16.99,11630,0.71,0.11,0.1,0.01,0.07,4.4,1.32,18.99,13587,0.78,0.11,0.08,0.01,0.02,4.6,0.7
"5391",26.99,13610,0.8,0.11,0.02,0.01,0.06,4.6,1.01,24.99,8888,0.52,0.41,0.03,0.01,0.03,4.4,0.68,18.99,16306,0.73,0.1,0.09,0.01,0.07,4.4,1.3,14.99,19840,0.63,0.32,0.01,0.01,0.03,4.5,0.69
"5392",28.99,10935,0.72,0.14,0.04,0.03,0.07,4.4,1.32,26.99,16872,0.86,0.03,0.02,0.01,0.08,4.6,1.3,18.99,5761,0.71,0.16,0.03,0.04,0.06,4.4,1.28,18.99,6214,0.71,0.19,0.03,0.03,0.04,4.5,1.01
"5393",28.99,15675,0.71,0.18,0.04,0.02,0.05,4.5,1,24.99,13593,0.79,0.13,0.01,0.01,0.06,4.6,1,16.99,7472,0.81,0.11,0.01,0.02,0.05,4.6,1,16.99,18394,0.61,0.23,0.14,0.01,0.01,4.4,0.71
"5394",24.99,6072,0.85,0.05,0.01,0.01,0.08,4.6,1.3,24.99,9231,0.78,0.11,0.08,0.01,0.02,4.6,0.7,14.99,9796,0.54,0.41,0.01,0.01,0.03,4.4,0.69,16.99,10525,0.69,0.21,0.04,0.01,0.05,4.5,0.98
"5395",28.99,5242,0.78,0.12,0.01,0.01,0.08,4.5,1.31,26.99,9078,0.8,0.08,0.01,0.05,0.06,4.5,1.3,14.99,5386,0.63,0.3,0.03,0.01,0.03,4.5,0.7,18.99,11100,0.86,0.03,0.02,0.01,0.08,4.6,1.3
"5396",28.99,6543,0.71,0.11,0.1,0.01,0.07,4.4,1.32,24.99,13679,0.77,0.11,0.03,0.01,0.08,4.5,1.28,14.99,12090,0.82,0.06,0.04,0.04,0.04,4.6,1,14.99,19267,0.77,0.11,0.03,0.02,0.07,4.5,1.3
"5397",26.99,16112,0.61,0.3,0.02,0.02,0.05,4.4,0.99,26.99,12445,0.75,0.12,0.07,0.02,0.04,4.5,1.02,18.99,11247,0.72,0.12,0.08,0.01,0.07,4.4,1.28,18.99,18257,0.55,0.33,0.09,0.01,0.02,4.4,0.72
"5398",24.99,11169,0.73,0.18,0.04,0.03,0.02,4.6,0.69,28.99,7275,0.78,0.12,0.01,0.01,0.08,4.5,1.31,16.99,19015,0.87,0.01,0.01,0.05,0.06,4.6,1.28,14.99,16241,0.69,0.15,0.08,0.02,0.06,4.4,1.28
"5399",26.99,9024,0.75,0.1,0.07,0.06,0.02,4.5,0.99,26.99,7218,0.65,0.23,0.09,0.02,0.01,4.5,0.69,16.99,17398,0.77,0.12,0.02,0.01,0.08,4.5,1.31,14.99,18536,0.66,0.2,0.11,0.02,0.01,4.5,0.69
"5400",26.99,5280,0.77,0.11,0.09,0.02,0.01,4.6,0.71,28.99,7582,0.66,0.2,0.11,0.02,0.01,4.5,0.69,14.99,15443,0.77,0.12,0.02,0.01,0.08,4.5,1.31,18.99,13965,0.55,0.38,0.03,0.01,0.03,4.4,0.71
"5401",28.99,19919,0.75,0.1,0.07,0.06,0.02,4.5,0.99,26.99,16656,0.77,0.11,0.01,0.05,0.06,4.5,1.29,14.99,14193,0.56,0.32,0.09,0.02,0.01,4.4,0.68,18.99,6063,0.77,0.11,0.01,0.05,0.06,4.5,1.29
"5402",28.99,12486,0.63,0.32,0.01,0.01,0.03,4.5,0.69,26.99,5954,0.82,0.06,0.04,0.04,0.04,4.6,1,16.99,7152,0.72,0.13,0.08,0.04,0.03,4.5,0.99,14.99,18247,0.87,0.02,0.02,0.01,0.08,4.6,1.29
"5403",26.99,15960,0.69,0.21,0.04,0.01,0.05,4.5,0.98,24.99,19367,0.68,0.18,0.12,0.01,0.01,4.5,0.7,16.99,5451,0.71,0.18,0.04,0.02,0.05,4.5,1,14.99,5050,0.79,0.09,0.01,0.05,0.06,4.5,1.3
"5404",24.99,8549,0.53,0.37,0.06,0.02,0.02,4.4,0.7,26.99,14095,0.7,0.2,0.03,0.03,0.04,4.5,0.99,14.99,10997,0.79,0.09,0.01,0.05,0.06,4.5,1.3,18.99,13559,0.63,0.32,0.01,0.01,0.03,4.5,0.69
"5405",24.99,6000,0.75,0.16,0.05,0.02,0.02,4.6,0.71,24.99,15447,0.61,0.23,0.14,0.01,0.01,4.4,0.71,18.99,10745,0.8,0.11,0.02,0.01,0.06,4.6,1.01,18.99,5157,0.73,0.1,0.09,0.01,0.07,4.4,1.3
"5406",26.99,9476,0.66,0.24,0.06,0.02,0.02,4.5,0.71,24.99,5927,0.77,0.11,0.03,0.01,0.08,4.5,1.28,18.99,16512,0.78,0.11,0.08,0.01,0.02,4.6,0.7,14.99,16290,0.71,0.19,0.03,0.03,0.04,4.5,1.01
"5407",26.99,5934,0.75,0.12,0.07,0.02,0.04,4.5,1.02,26.99,7034,0.72,0.14,0.04,0.03,0.07,4.4,1.32,14.99,14530,0.67,0.17,0.1,0.02,0.04,4.4,1.01,16.99,10166,0.68,0.18,0.12,0.01,0.01,4.5,0.7
"5408",24.99,17514,0.66,0.2,0.11,0.02,0.01,4.5,0.69,26.99,9873,0.67,0.17,0.1,0.02,0.04,4.4,1.01,16.99,6833,0.78,0.12,0.01,0.01,0.08,4.5,1.31,14.99,12277,0.71,0.19,0.03,0.03,0.04,4.5,1.01
"5409",28.99,17775,0.75,0.12,0.07,0.02,0.04,4.5,1.02,24.99,6311,0.62,0.32,0.02,0.02,0.02,4.5,0.68,14.99,8043,0.8,0.11,0.02,0.01,0.06,4.6,1.01,16.99,7510,0.77,0.12,0.02,0.01,0.08,4.5,1.31
"5410",28.99,14230,0.85,0.05,0.01,0.01,0.08,4.6,1.3,28.99,19929,0.79,0.09,0.01,0.05,0.06,4.5,1.3,18.99,13553,0.55,0.38,0.03,0.01,0.03,4.4,0.71,14.99,11370,0.68,0.18,0.12,0.01,0.01,4.5,0.7
"5411",24.99,5055,0.65,0.23,0.09,0.02,0.01,4.5,0.69,26.99,18243,0.77,0.11,0.03,0.01,0.08,4.5,1.28,14.99,16679,0.85,0.05,0.01,0.01,0.08,4.6,1.3,18.99,13731,0.67,0.22,0.01,0.02,0.08,4.4,1.32
"5412",28.99,7106,0.77,0.11,0.03,0.02,0.07,4.5,1.3,24.99,7788,0.77,0.11,0.03,0.01,0.08,4.5,1.28,14.99,19702,0.77,0.11,0.07,0.04,0.01,4.6,0.7,14.99,12629,0.71,0.11,0.1,0.01,0.07,4.4,1.32
"5413",24.99,14201,0.87,0.02,0.02,0.02,0.07,4.6,1.28,26.99,12884,0.55,0.38,0.03,0.01,0.03,4.4,0.71,18.99,5599,0.75,0.16,0.05,0.02,0.02,4.6,0.71,14.99,6182,0.88,0.01,0.01,0.03,0.07,4.6,1.28
"5414",24.99,15819,0.75,0.16,0.05,0.02,0.02,4.6,0.71,28.99,12002,0.84,0.07,0.01,0.04,0.04,4.6,1.01,14.99,6478,0.8,0.09,0.02,0.02,0.07,4.5,1.29,16.99,6288,0.66,0.17,0.12,0.01,0.04,4.4,0.99
"5415",26.99,10685,0.62,0.31,0.03,0.01,0.03,4.5,0.7,26.99,16746,0.71,0.16,0.03,0.04,0.06,4.4,1.28,14.99,12518,0.73,0.19,0.04,0.01,0.03,4.6,0.72,18.99,14963,0.75,0.12,0.08,0.04,0.01,4.6,0.69
"5416",26.99,6463,0.72,0.14,0.04,0.03,0.07,4.4,1.32,26.99,16474,0.72,0.14,0.04,0.03,0.07,4.4,1.32,14.99,14980,0.87,0.01,0.02,0.03,0.07,4.6,1.29,14.99,14717,0.68,0.12,0.12,0.07,0.01,4.4,1
"5417",24.99,13105,0.76,0.12,0.09,0.02,0.01,4.6,0.69,24.99,5872,0.82,0.1,0.01,0.03,0.04,4.6,0.99,14.99,11172,0.57,0.28,0.11,0.03,0.01,4.4,0.72,14.99,19632,0.62,0.31,0.03,0.01,0.03,4.5,0.69
"5418",26.99,18714,0.66,0.14,0.14,0.03,0.03,4.4,1.02,24.99,12108,0.73,0.19,0.04,0.01,0.03,4.6,0.72,18.99,16642,0.79,0.09,0.01,0.05,0.06,4.5,1.3,14.99,10650,0.66,0.17,0.12,0.01,0.04,4.4,0.99
"5419",26.99,10768,0.66,0.2,0.11,0.02,0.01,4.5,0.69,24.99,14935,0.73,0.18,0.04,0.03,0.02,4.6,0.69,18.99,18048,0.77,0.11,0.03,0.01,0.08,4.5,1.31,14.99,12737,0.82,0.06,0.04,0.04,0.04,4.6,1
"5420",24.99,5864,0.55,0.33,0.09,0.01,0.02,4.4,0.72,28.99,8840,0.63,0.32,0.01,0.01,0.03,4.5,0.69,16.99,9936,0.8,0.08,0.03,0.01,0.08,4.5,1.31,14.99,12359,0.8,0.11,0.02,0.01,0.06,4.6,1.01
"5421",26.99,6327,0.75,0.1,0.07,0.06,0.02,4.5,0.99,28.99,10448,0.8,0.11,0.02,0.01,0.06,4.6,1.01,18.99,6784,0.72,0.14,0.04,0.03,0.07,4.4,1.32,16.99,16223,0.55,0.38,0.03,0.01,0.03,4.4,0.71
"5422",28.99,9442,0.56,0.32,0.09,0.02,0.01,4.4,0.68,28.99,15141,0.62,0.32,0.02,0.02,0.02,4.5,0.68,18.99,5514,0.77,0.11,0.03,0.01,0.08,4.5,1.28,16.99,15472,0.69,0.21,0.04,0.01,0.05,4.5,0.98
"5423",26.99,17738,0.83,0.05,0.05,0.04,0.03,4.6,0.99,28.99,12435,0.55,0.38,0.03,0.01,0.03,4.4,0.71,18.99,17200,0.72,0.12,0.08,0.01,0.07,4.4,1.28,14.99,15424,0.77,0.11,0.03,0.02,0.07,4.5,1.3
"5424",24.99,7989,0.75,0.16,0.05,0.02,0.02,4.6,0.71,24.99,13776,0.77,0.11,0.09,0.02,0.01,4.6,0.71,16.99,14518,0.72,0.13,0.07,0.05,0.03,4.5,0.99,18.99,8772,0.55,0.33,0.09,0.01,0.02,4.4,0.72
"5425",26.99,18129,0.72,0.13,0.08,0.04,0.03,4.5,0.99,24.99,15058,0.66,0.2,0.11,0.02,0.01,4.5,0.69,14.99,18350,0.65,0.22,0.06,0.03,0.04,4.4,0.99,16.99,16361,0.86,0.04,0.01,0.01,0.08,4.6,1.3
"5426",28.99,9813,0.61,0.23,0.14,0.01,0.01,4.4,0.71,26.99,17715,0.72,0.1,0.09,0.04,0.05,4.4,1.3,14.99,8174,0.66,0.2,0.11,0.02,0.01,4.5,0.69,16.99,12728,0.62,0.29,0.02,0.02,0.05,4.4,1.02
"5427",24.99,15122,0.64,0.24,0.05,0.03,0.04,4.4,1,26.99,7471,0.78,0.11,0.08,0.01,0.02,4.6,0.7,16.99,16439,0.77,0.11,0.09,0.02,0.01,4.6,0.71,18.99,12938,0.72,0.14,0.04,0.03,0.07,4.4,1.32
"5428",28.99,16296,0.72,0.13,0.07,0.05,0.03,4.5,0.99,28.99,17702,0.68,0.12,0.12,0.07,0.01,4.4,1,18.99,17896,0.6,0.31,0.01,0.03,0.05,4.4,0.99,14.99,10993,0.65,0.22,0.06,0.03,0.04,4.4,0.99
"5429",24.99,16097,0.67,0.17,0.1,0.02,0.04,4.4,1.01,28.99,7618,0.54,0.41,0.01,0.01,0.03,4.4,0.69,14.99,10628,0.71,0.18,0.04,0.02,0.05,4.5,1,16.99,19043,0.75,0.12,0.08,0.04,0.01,4.6,0.69
"5430",26.99,13916,0.88,0.01,0.01,0.03,0.07,4.6,1.28,24.99,7531,0.8,0.08,0.03,0.01,0.08,4.5,1.31,16.99,15977,0.88,0.01,0.01,0.03,0.07,4.6,1.28,14.99,10039,0.8,0.09,0.02,0.02,0.07,4.5,1.29
"5431",28.99,9383,0.7,0.2,0.03,0.03,0.04,4.5,1.01,26.99,13881,0.86,0.04,0.01,0.01,0.08,4.6,1.31,16.99,5232,0.77,0.11,0.01,0.05,0.06,4.5,1.29,16.99,6801,0.6,0.31,0.01,0.03,0.05,4.4,0.99
"5432",26.99,16833,0.66,0.26,0.04,0.02,0.02,4.5,0.71,26.99,19931,0.56,0.32,0.09,0.02,0.01,4.4,0.68,14.99,17871,0.81,0.11,0.01,0.02,0.05,4.6,1,14.99,7575,0.66,0.26,0.04,0.02,0.02,4.5,0.71
"5433",26.99,19507,0.77,0.11,0.07,0.04,0.01,4.6,0.7,28.99,8116,0.61,0.3,0.02,0.02,0.05,4.4,0.99,14.99,5472,0.77,0.11,0.03,0.01,0.08,4.5,1.31,18.99,5462,0.84,0.07,0.01,0.04,0.04,4.6,1.01
"5434",26.99,17356,0.65,0.23,0.09,0.02,0.01,4.5,0.69,26.99,11921,0.72,0.1,0.09,0.04,0.05,4.4,1.3,16.99,7944,0.72,0.12,0.08,0.01,0.07,4.4,1.28,18.99,16392,0.8,0.09,0.02,0.02,0.07,4.5,1.29
"5435",24.99,15914,0.81,0.11,0.01,0.02,0.05,4.6,1,26.99,9830,0.75,0.1,0.07,0.06,0.02,4.5,0.99,16.99,7743,0.74,0.11,0.08,0.04,0.03,4.5,1,18.99,11978,0.77,0.11,0.03,0.01,0.08,4.5,1.31
"5436",26.99,19663,0.72,0.13,0.08,0.04,0.03,4.5,0.99,24.99,9920,0.66,0.24,0.06,0.02,0.02,4.5,0.71,16.99,11533,0.73,0.19,0.04,0.01,0.03,4.6,0.72,18.99,17102,0.75,0.12,0.08,0.04,0.01,4.6,0.69
"5437",24.99,8987,0.65,0.23,0.09,0.02,0.01,4.5,0.69,24.99,18654,0.81,0.08,0.03,0.04,0.04,4.6,1,18.99,8275,0.75,0.1,0.07,0.06,0.02,4.5,0.99,14.99,13914,0.57,0.32,0.07,0.03,0.01,4.4,0.7
"5438",28.99,14517,0.62,0.31,0.03,0.01,0.03,4.5,0.69,28.99,15209,0.72,0.13,0.07,0.05,0.03,4.5,0.99,18.99,11604,0.66,0.17,0.12,0.01,0.04,4.4,0.99,16.99,19401,0.72,0.13,0.07,0.05,0.03,4.5,0.99
"5439",24.99,10811,0.69,0.21,0.04,0.01,0.05,4.5,0.98,24.99,10001,0.73,0.18,0.04,0.03,0.02,4.6,0.69,14.99,8367,0.77,0.11,0.03,0.01,0.08,4.5,1.28,18.99,16680,0.61,0.3,0.02,0.02,0.05,4.4,0.99
"5440",26.99,12350,0.66,0.26,0.04,0.02,0.02,4.5,0.71,24.99,15635,0.81,0.11,0.01,0.02,0.05,4.6,1,14.99,11826,0.73,0.1,0.09,0.01,0.07,4.4,1.3,16.99,11028,0.77,0.11,0.03,0.01,0.08,4.5,1.31
"5441",26.99,19707,0.8,0.09,0.02,0.02,0.07,4.5,1.29,24.99,12765,0.77,0.11,0.09,0.01,0.02,4.6,0.72,18.99,13048,0.76,0.12,0.09,0.02,0.01,4.6,0.69,16.99,11282,0.8,0.08,0.01,0.05,0.06,4.5,1.3
"5442",28.99,6728,0.71,0.16,0.05,0.01,0.07,4.4,1.3,24.99,16137,0.84,0.07,0.01,0.04,0.04,4.6,1.01,18.99,15250,0.87,0.02,0.02,0.01,0.08,4.6,1.29,14.99,16407,0.57,0.28,0.11,0.03,0.01,4.4,0.72
"5443",24.99,8385,0.67,0.22,0.01,0.02,0.08,4.4,1.32,24.99,17180,0.63,0.3,0.03,0.01,0.03,4.5,0.7,14.99,17094,0.81,0.1,0.02,0.02,0.05,4.6,0.99,18.99,19882,0.6,0.31,0.01,0.03,0.05,4.4,0.99
"5444",24.99,16691,0.77,0.11,0.03,0.02,0.07,4.5,1.3,24.99,8997,0.81,0.11,0.01,0.02,0.05,4.6,1,16.99,19224,0.77,0.11,0.09,0.02,0.01,4.6,0.71,16.99,14149,0.66,0.24,0.06,0.02,0.02,4.5,0.71
"5445",26.99,11985,0.87,0.02,0.02,0.01,0.08,4.6,1.29,26.99,14605,0.75,0.12,0.08,0.04,0.01,4.6,0.69,16.99,10047,0.72,0.13,0.07,0.05,0.03,4.5,0.99,16.99,9279,0.71,0.16,0.05,0.01,0.07,4.4,1.3
"5446",28.99,16132,0.82,0.06,0.04,0.04,0.04,4.6,1,28.99,6302,0.87,0.01,0.01,0.05,0.06,4.6,1.28,18.99,5514,0.87,0.02,0.02,0.01,0.08,4.6,1.32,16.99,7625,0.65,0.23,0.09,0.02,0.01,4.5,0.69
"5447",28.99,12134,0.7,0.2,0.03,0.03,0.04,4.5,1.01,26.99,11483,0.69,0.15,0.08,0.02,0.06,4.4,1.28,14.99,11510,0.81,0.1,0.02,0.02,0.05,4.6,0.99,14.99,10414,0.55,0.35,0.07,0.01,0.02,4.4,0.7
"5448",24.99,7062,0.77,0.12,0.02,0.01,0.08,4.5,1.31,26.99,17907,0.86,0.04,0.01,0.01,0.08,4.6,1.3,14.99,17834,0.67,0.17,0.1,0.02,0.04,4.4,1.01,16.99,17943,0.66,0.26,0.04,0.02,0.02,4.5,0.71
"5449",26.99,18216,0.86,0.04,0.01,0.01,0.08,4.6,1.3,24.99,16099,0.73,0.18,0.04,0.03,0.02,4.6,0.69,16.99,13186,0.53,0.37,0.06,0.02,0.02,4.4,0.7,18.99,7892,0.68,0.12,0.12,0.07,0.01,4.4,1
"5450",28.99,11387,0.79,0.13,0.01,0.01,0.06,4.6,1,26.99,17732,0.69,0.17,0.04,0.04,0.06,4.4,1.3,18.99,11769,0.57,0.32,0.07,0.03,0.01,4.4,0.7,14.99,6607,0.66,0.17,0.12,0.01,0.04,4.4,0.99
"5451",26.99,19613,0.75,0.12,0.07,0.02,0.04,4.5,1.02,24.99,12530,0.81,0.11,0.01,0.02,0.05,4.6,1,18.99,15036,0.67,0.22,0.01,0.02,0.08,4.4,1.32,16.99,7618,0.63,0.32,0.01,0.01,0.03,4.5,0.69
"5452",28.99,12581,0.71,0.11,0.1,0.01,0.07,4.4,1.32,26.99,9073,0.78,0.12,0.01,0.01,0.08,4.5,1.31,16.99,17005,0.65,0.23,0.09,0.02,0.01,4.5,0.69,16.99,10890,0.79,0.09,0.01,0.05,0.06,4.5,1.3
"5453",28.99,18344,0.62,0.32,0.02,0.02,0.02,4.5,0.68,28.99,10273,0.6,0.31,0.01,0.03,0.05,4.4,0.99,18.99,6150,0.7,0.2,0.03,0.03,0.04,4.5,1.01,16.99,16899,0.75,0.16,0.05,0.02,0.02,4.6,0.71
"5454",28.99,6250,0.81,0.1,0.02,0.02,0.05,4.6,0.99,26.99,6955,0.75,0.12,0.07,0.02,0.04,4.5,1.02,16.99,9715,0.65,0.22,0.06,0.03,0.04,4.4,0.99,18.99,7172,0.79,0.13,0.01,0.01,0.06,4.6,1
"5455",26.99,18255,0.53,0.37,0.06,0.02,0.02,4.4,0.7,24.99,10664,0.69,0.21,0.04,0.01,0.05,4.5,0.98,14.99,9549,0.87,0.02,0.02,0.01,0.08,4.6,1.29,16.99,13466,0.71,0.19,0.03,0.03,0.04,4.5,1.01
"5456",26.99,18715,0.7,0.2,0.03,0.03,0.04,4.5,1.01,26.99,14290,0.66,0.14,0.14,0.03,0.03,4.4,1.02,18.99,8930,0.69,0.17,0.04,0.04,0.06,4.4,1.3,18.99,7032,0.77,0.12,0.02,0.01,0.08,4.5,1.31
"5457",24.99,18750,0.66,0.24,0.06,0.02,0.02,4.5,0.71,24.99,10601,0.67,0.22,0.01,0.02,0.08,4.4,1.32,18.99,12700,0.78,0.12,0.01,0.01,0.08,4.5,1.31,18.99,6242,0.82,0.1,0.01,0.03,0.04,4.6,0.99
"5458",24.99,5163,0.66,0.14,0.14,0.03,0.03,4.4,1.02,28.99,7139,0.75,0.12,0.07,0.02,0.04,4.5,1.02,16.99,16649,0.86,0.04,0.01,0.01,0.08,4.6,1.31,14.99,13292,0.63,0.32,0.01,0.01,0.03,4.5,0.69
"5459",28.99,16797,0.66,0.26,0.04,0.02,0.02,4.5,0.71,26.99,17128,0.77,0.11,0.03,0.01,0.08,4.5,1.31,14.99,10346,0.81,0.11,0.01,0.02,0.05,4.6,1,14.99,8672,0.75,0.1,0.07,0.06,0.02,4.5,0.99
"5460",26.99,19685,0.77,0.11,0.03,0.01,0.08,4.5,1.28,28.99,12875,0.66,0.26,0.04,0.02,0.02,4.5,0.71,14.99,16715,0.73,0.19,0.04,0.01,0.03,4.6,0.72,18.99,5961,0.83,0.05,0.05,0.04,0.03,4.6,0.99
"5461",26.99,18022,0.87,0.01,0.02,0.03,0.07,4.6,1.29,24.99,10988,0.57,0.28,0.11,0.03,0.01,4.4,0.72,18.99,11833,0.87,0.02,0.02,0.02,0.07,4.6,1.28,16.99,13736,0.68,0.12,0.12,0.07,0.01,4.4,1
"5462",24.99,17603,0.72,0.12,0.08,0.01,0.07,4.4,1.28,24.99,7993,0.85,0.05,0.01,0.01,0.08,4.6,1.3,18.99,17749,0.66,0.2,0.11,0.02,0.01,4.5,0.69,18.99,13205,0.83,0.05,0.05,0.04,0.03,4.6,0.99
"5463",28.99,12983,0.72,0.14,0.04,0.03,0.07,4.4,1.32,24.99,10312,0.75,0.12,0.08,0.04,0.01,4.6,0.69,16.99,15224,0.53,0.37,0.06,0.02,0.02,4.4,0.7,14.99,8017,0.82,0.06,0.04,0.04,0.04,4.6,1
"5464",24.99,5910,0.77,0.11,0.03,0.01,0.08,4.5,1.31,26.99,13142,0.72,0.14,0.04,0.03,0.07,4.4,1.32,16.99,9660,0.77,0.11,0.09,0.02,0.01,4.6,0.71,16.99,18471,0.77,0.11,0.01,0.05,0.06,4.5,1.29
"5465",28.99,6524,0.81,0.08,0.03,0.04,0.04,4.6,1,28.99,18551,0.8,0.08,0.03,0.01,0.08,4.5,1.31,16.99,10395,0.79,0.09,0.01,0.05,0.06,4.5,1.3,18.99,13805,0.55,0.33,0.09,0.01,0.02,4.4,0.72
"5466",28.99,14615,0.81,0.11,0.01,0.02,0.05,4.6,1,28.99,6101,0.71,0.11,0.1,0.01,0.07,4.4,1.32,16.99,6618,0.77,0.11,0.07,0.04,0.01,4.6,0.7,14.99,13631,0.72,0.1,0.09,0.04,0.05,4.4,1.3
"5467",24.99,9582,0.71,0.11,0.1,0.01,0.07,4.4,1.32,26.99,10803,0.75,0.1,0.07,0.06,0.02,4.5,0.99,14.99,12939,0.62,0.31,0.03,0.01,0.03,4.5,0.69,18.99,5436,0.62,0.29,0.02,0.02,0.05,4.4,1.02
"5468",28.99,5091,0.71,0.16,0.05,0.01,0.07,4.4,1.3,26.99,17854,0.65,0.23,0.09,0.02,0.01,4.5,0.69,14.99,9213,0.61,0.3,0.01,0.04,0.04,4.4,1.01,16.99,5541,0.8,0.11,0.02,0.01,0.06,4.6,1.01
"5469",26.99,12724,0.82,0.1,0.01,0.03,0.04,4.6,0.99,24.99,10570,0.62,0.31,0.03,0.01,0.03,4.5,0.69,18.99,12157,0.71,0.18,0.04,0.02,0.05,4.5,1,18.99,7691,0.87,0.02,0.02,0.02,0.07,4.6,1.28
"5470",28.99,8417,0.77,0.11,0.03,0.02,0.07,4.5,1.3,28.99,19398,0.53,0.37,0.06,0.02,0.02,4.4,0.7,14.99,7611,0.67,0.22,0.01,0.02,0.08,4.4,1.32,16.99,10702,0.8,0.08,0.03,0.01,0.08,4.5,1.31
"5471",24.99,8449,0.77,0.11,0.09,0.02,0.01,4.6,0.71,26.99,15173,0.69,0.15,0.08,0.02,0.06,4.4,1.28,18.99,5721,0.77,0.11,0.07,0.04,0.01,4.6,0.7,14.99,6520,0.74,0.11,0.08,0.04,0.03,4.5,1
"5472",28.99,19025,0.62,0.29,0.02,0.02,0.05,4.4,1.02,28.99,6655,0.71,0.16,0.03,0.04,0.06,4.4,1.28,16.99,6076,0.62,0.29,0.02,0.02,0.05,4.4,1.02,16.99,10971,0.66,0.17,0.12,0.01,0.04,4.4,0.99
"5473",28.99,17904,0.83,0.05,0.05,0.04,0.03,4.6,0.99,24.99,13910,0.77,0.12,0.02,0.01,0.08,4.5,1.31,16.99,13157,0.82,0.06,0.04,0.04,0.04,4.6,1,18.99,10097,0.55,0.33,0.09,0.01,0.02,4.4,0.72
"5474",24.99,16654,0.73,0.1,0.09,0.01,0.07,4.4,1.3,28.99,17881,0.61,0.23,0.14,0.01,0.01,4.4,0.71,14.99,18228,0.71,0.18,0.04,0.02,0.05,4.5,1,18.99,11337,0.77,0.11,0.03,0.01,0.08,4.5,1.31
"5475",28.99,12100,0.64,0.24,0.05,0.03,0.04,4.4,1,24.99,14688,0.71,0.18,0.04,0.02,0.05,4.5,1,14.99,15293,0.73,0.19,0.04,0.01,0.03,4.6,0.72,18.99,5725,0.74,0.11,0.08,0.04,0.03,4.5,1
"5476",28.99,7325,0.76,0.12,0.09,0.02,0.01,4.6,0.69,26.99,10767,0.86,0.04,0.01,0.01,0.08,4.6,1.3,18.99,14827,0.61,0.23,0.14,0.01,0.01,4.4,0.71,16.99,18965,0.73,0.19,0.04,0.01,0.03,4.6,0.72
"5477",26.99,8287,0.71,0.16,0.03,0.04,0.06,4.4,1.28,24.99,6285,0.79,0.13,0.01,0.01,0.06,4.6,1,14.99,13859,0.78,0.11,0.08,0.01,0.02,4.6,0.7,18.99,19298,0.86,0.04,0.01,0.01,0.08,4.6,1.3
"5478",26.99,7093,0.66,0.17,0.12,0.01,0.04,4.4,0.99,26.99,14365,0.68,0.12,0.12,0.07,0.01,4.4,1,14.99,16103,0.66,0.24,0.06,0.02,0.02,4.5,0.71,16.99,11257,0.61,0.23,0.14,0.01,0.01,4.4,0.71
"5479",28.99,5892,0.88,0.01,0.01,0.03,0.07,4.6,1.28,26.99,9453,0.72,0.13,0.08,0.04,0.03,4.5,0.99,14.99,16334,0.8,0.09,0.02,0.02,0.07,4.5,1.29,18.99,12282,0.77,0.11,0.09,0.02,0.01,4.6,0.71
"5480",24.99,16319,0.82,0.1,0.01,0.03,0.04,4.6,0.99,28.99,7004,0.53,0.37,0.06,0.02,0.02,4.4,0.7,14.99,7860,0.69,0.17,0.04,0.04,0.06,4.4,1.3,14.99,8423,0.63,0.3,0.03,0.01,0.03,4.5,0.7
"5481",26.99,10886,0.76,0.13,0.08,0.01,0.02,4.6,0.68,24.99,17004,0.8,0.08,0.03,0.01,0.08,4.5,1.31,14.99,5537,0.55,0.35,0.07,0.01,0.02,4.4,0.7,18.99,8293,0.8,0.09,0.02,0.02,0.07,4.5,1.29
"5482",24.99,19953,0.75,0.12,0.08,0.04,0.01,4.6,0.69,26.99,7024,0.76,0.13,0.08,0.01,0.02,4.6,0.68,18.99,15450,0.62,0.29,0.02,0.02,0.05,4.4,1.02,14.99,6684,0.71,0.16,0.05,0.01,0.07,4.4,1.3
"5483",24.99,16294,0.86,0.03,0.02,0.01,0.08,4.6,1.3,24.99,8862,0.62,0.31,0.03,0.01,0.03,4.5,0.69,16.99,17064,0.78,0.11,0.08,0.01,0.02,4.6,0.7,16.99,16973,0.62,0.31,0.03,0.01,0.03,4.5,0.7
